138 	HDFCBANK:EQ 	1x 	14x 
139 	HDIL:EQ 	1x 	7x 
140 	HEROMOTOCO:EQ 	1x 	14x 
141 	HEXAWARE:EQ 	1x 	11x 
142 	HINDALCO:EQ 	1x 	11x 
143 	HINDCOPPER:EQ 	1x 	3x 
144 	HINDPETRO:EQ 	1x 	11x 
145 	HINDUNILVR:EQ 	1x 	14x 
146 	HINDZINC:EQ 	1x 	11x 
147 	HONAUT:EQ 	1x 	3x 
148 	HOTELEELA:EQ 	1x 	3x 
149 	IBREALEST:EQ 	1x 	10x 
150 	IBULHSGFIN:EQ 	1x 	9x 
151 	ICICIBANK:EQ 	1x 	14x 
152 	ICICIPRULI:EQ 	1x 	3x 
153 	ICIL:EQ 	1x 	13x 
154 	IDBI:EQ 	1x 	14x 
155 	IDEA:EQ 	1x 	7x 
156 	IDFC:EQ 	1x 	11x 
157 	IDFCBANK:EQ 	1x 	14x 
158 	IFCI:EQ 	1x 	10x 
159 	IGL:EQ 	1x 	14x 
160 	IIFL:EQ 	1x 	3x 
161 	INDHOTEL:EQ 	1x 	3x 
162 	INDIACEM:EQ 	1x 	11x 
163 	INDIANB:EQ 	1x 	3x 
164 	INDIGO:EQ 	1x 	3x 
165 	INDUSINDBK:EQ 	1x 	14x 
166 	INFRATEL:EQ 	1x 	9x 
167 	INFY:EQ 	1x 	9x 
168 	INOXWIND:EQ 	1x 	3x 
169 	IOB:EQ 	1x 	3x 
170 	IOC:EQ 	1x 	14x 
171 	IPCALAB:EQ 	1x 	3x 
172 	IRB:EQ 	1x 	9x 
173 	ITC:EQ 	1x 	14x 
174 	JAGRAN:EQ 	1x 	3x 
175 	JETAIRWAYS:EQ 	1x 	11x 
176 	JINDALSTEL:EQ 	1x 	8x 
177 	JISLJALEQS:EQ 	1x 	11x 
178 	JKCEMENT:EQ 	1x 	3x 
179 	JKTYRE:EQ 	1x 	3x 
180 	JPASSOCIAT:EQ 	1x 	7x 
181 	JSWENERGY:EQ 	1x 	13x 
182 	JSWSTEEL:EQ 	1x 	14x 
183 	JUBILANT:EQ 	1x 	3x 
184 	JUBLFOOD:EQ 	1x 	11x 
185 	JUSTDIAL:EQ 	1x 	8x 
186 	JYOTHYLAB:EQ 	1x 	3x 
187 	KAJARIACER:EQ 	1x 	3x 
188 	KANSAINER:EQ 	1x 	3x 
189 	KARURVYSYA:EQ 	1x 	3x 
190 	KEC:EQ 	1x 	3x 
191 	KOTAKBANK:EQ 	1x 	14x 
192 	KPIT:EQ 	1x 	8x 
193 	KSCL:EQ 	1x 	13x 
194 	KTKBANK:EQ 	1x 	14x 
195 	L&TFH:EQ 	1x 	11x 
196 	LALPATHLAB:EQ 	1x 	3x 
197 	LICHSGFIN:EQ 	1x 	11x 
198 	LINDEINDIA:EQ 	1x 	3x 
199 	LIQUIDBEES:EQ 	1x 	10x 
200 	LOVABLE:EQ 	1x 	3x 
201 	LT:EQ 	1x 	14x 
202 	LUPIN:EQ 	1x 	11x 
203 	M&M:EQ 	1x 	14x 
204 	M&MFIN:EQ 	1x 	11x 
205 	M100:EQ 	1x 	3x 
206 	M50:EQ 	1x 	3x 
207 	MAHINDCIE:EQ 	1x 	3x 
208 	MARICO:EQ 	1x 	11x 
209 	MARUTI:EQ 	1x 	14x 
210 	MCDOWELL-N:EQ 	1x 	11x 
211 	MCLEODRUSS:EQ 	1x 	11x 
212 	MERCATOR:EQ 	1x 	3x 
213 	MFSL:EQ 	1x 	3x 
214 	MINDTREE:EQ 	1x 	9x 
215 	MOTHERSUMI:EQ 	1x 	11x 
216 	MPHASIS:EQ 	1x 	3x 
217 	MRF:EQ 	1x 	11x 
218 	MRPL:EQ 	1x 	3x 
219 	MUTHOOTFIN:EQ 	1x 	3x 
220 	NATCOPHARM:EQ 	1x 	3x 
221 	NATIONALUM:EQ 	1x 	3x 
222 	NAUKRI:EQ 	1x 	3x 
223 	NBCC:EQ 	1x 	3x 
224 	NCC:EQ 	1x 	11x 
225 	NETWORK18:EQ 	1x 	3x 
226 	NH:EQ 	1x 	3x 
227 	NHPC:EQ 	1x 	13x 
228 	NIFTYBEES:EQ 	1x 	10x 
229 	NIITTECH:EQ 	1x 	9x 
230 	NLCINDIA:EQ 	1x 	3x 
231 	NMDC:EQ 	1x 	11x 
232 	NTPC:EQ 	1x 	11x 
233 	OBEROIRLTY:EQ 	1x 	3x 
234 	OFSS:EQ 	1x 	8x 
235 	OIL:EQ 	1x 	14x 
236 	ONGC:EQ 	1x 	14x 
237 	ORIENTBANK:EQ 	1x 	14x 
238 	PAGEIND:EQ 	1x 	9x 
239 	PCJEWELLER:EQ 	1x 	6x 
240 	PEL:EQ 	1x 	3x 
241 	PERSISTENT:EQ 	1x 	3x 
242 	PETRONET:EQ 	1x 	14x 
243 	PFC:EQ 	1x 	9x 
244 	PFIZER:EQ 	1x 	3x 
245 	PGHH:EQ 	1x 	3x 
246 	PHOENIXLTD:EQ 	1x 	3x 
247 	PIDILITIND:EQ 	1x 	11x 
248 	PIIND:EQ 	1x 	3x 
249 	PNB:EQ 	1x 	14x 
250 	POLARIS:EQ 	1x 	3x 
251 	POWERGRID:EQ 	1x 	14x 
252 	PRESTIGE:EQ 	1x 	3x 
253 	PTC:EQ 	1x 	11x 
254 	QUICKHEAL:EQ 	1x 	3x 
255 	RAJESHEXPO:EQ 	1x 	3x 
256 	RAMCOCEM:EQ 	1x 	3x 
257 	RBLBANK:EQ 	1x 	3x 
258 	RCOM:EQ 	1x 	7x 
259 	RECLTD:EQ 	1x 	11x 
260 	RELAXO:EQ 	1x 	3x 
261 	RELCAPITAL:EQ 	1x 	9x 
262 	RELIANCE:EQ 	1x 	14x 
263 	RELINFRA:EQ 	1x 	9x 
264 	RENUKA:EQ 	1x 	3x 
265 	ROLTA:EQ 	1x 	3x 
266 	RPOWER:EQ 	1x 	9x 
267 	SADBHAV:EQ 	1x 	3x 
268 	SAIL:EQ 	1x 	11x 
269 	SANOFI:EQ 	1x 	3x 
270 	SBIN:EQ 	1x 	14x 
271 	SHRIRAMCIT:EQ 	1x 	3x 
272 	SIEMENS:EQ 	1x 	9x 
273 	SINTEX:EQ 	1x 	8x 
274 	SJVN:EQ 	1x 	3x 
275 	SKFINDIA:EQ 	1x 	3x 
276 	SNOWMAN:EQ 	1x 	3x 
277 	SOLARINDS:EQ 	1x 	3x 
278 	SOUTHBANK:EQ 	1x 	14x 
279 	SPARC:EQ 	1x 	3x 
280 	SRF:EQ 	1x 	11x 
281 	SRTRANSFIN:EQ 	1x 	11x 
282 	STAR:EQ 	1x 	14x 
283 	SUNDARMFIN:EQ 	1x 	3x 
284 	SUNPHARMA:EQ 	1x 	7x 
285 	SUNTV:EQ 	1x 	3x 
286 	SUPREMEIND:EQ 	1x 	3x 
287 	SYMPHONY:EQ 	1x 	3x 
288 	SYNDIBANK:EQ 	1x 	14x 
289 	SYNGENE:EQ 	1x 	3x 
290 	TATACHEM:EQ 	1x 	11x 
